index,date,median,max,functions
22161,2017-08-02T12:50:30+02:00,48,185887449986112,1639
22428,2017-09-15T16:56:23+02:00,44,185887449986112,1737
22695,2017-12-05T17:05:44+01:00,44,2244931268739840,1808
22962,2018-03-16T16:01:01+01:00,42,2264568838486272,1828
23229,2018-06-15T16:51:12+02:00,42,183140868072031488,1852
23496,2018-09-14T11:57:20+02:00,42,183213170033370624,1905
23763,2018-11-30T22:48:09+01:00,41,190009554399249408,1904
24030,2019-02-27T08:37:56+01:00,40,194492276002275840,1906
24297,2019-05-16T15:32:42+02:00,42,33152346084708,1893
24564,2019-08-05T14:20:51+02:00,42,33263923185540,1985
24831,2019-09-28T18:10:43+02:00,42,32957086158252,1988
25098,2019-12-26T02:26:08-05:00,42,33012874708668,2026
25365,2020-03-05T15:32:13+01:00,42,33068663259084,2051
25632,2020-04-20T10:12:22+02:00,42,33347606011164,2085
25899,2020-06-19T23:29:26+02:00,40,33849702964908,2102
26166,2020-09-03T18:02:27+02:00,40,56653617321216,2119
26433,2020-11-19T01:40:24+01:00,40,56653617321216,2140
26700,2021-01-22T01:47:04-05:00,42,684604030823424,2170
26967,2021-03-28T23:19:55+02:00,44,228730301715456,2168
27234,2021-06-01T17:55:35+02:00,44,228730301715456,2197
27501,2021-08-08T22:57:29+02:00,44,220311051835392,2204
27768,2021-10-18T16:27:02+02:00,46,226482229757952,2215
28035,2022-01-02T22:53:47+01:00,46,227055267707904,2227
28302,2022-02-25T11:31:11+01:00,46,227055267707904,2213
28569,2022-05-10T09:43:08+02:00,46.5,227055267707904,2250
28836,2022-07-10T15:49:14+02:00,48,227055267707904,2256
29103,2022-09-15T09:31:45+02:00,48,227055267707904,2272
29370,2022-11-07T12:19:36+01:00,48,227055267707904,2278
29637,2023-01-02T16:03:28+01:00,54,8991426723409116,2453
29904,2023-02-27T15:11:13+01:00,56,9059209812164556,2517
30171,2023-04-10T11:50:51-07:00,56,9059209812164556,2654
30438,2023-06-01T08:19:21+02:00,56,9038874885537924,2682
30705,2023-08-02T16:23:45+02:00,56,9059209812164556,2625
30972,2023-09-16T23:38:36+02:00,56,9099879665417820,2613
31239,2023-10-27T17:13:24+02:00,56,9099879665417820,2631
31506,2023-12-22T10:06:01+01:00,56,37252804540284,2644
31773,2024-02-20T11:36:12+01:00,60,36890178962580,2717
32040,2024-04-12T13:25:44+02:00,56,73612992273912,2835
32307,2024-05-24T16:38:17-07:00,56,76346631244296,2888
32574,2024-07-02T19:26:15+02:00,56,76960305298872,2973
32841,2024-08-06T11:05:48+02:00,56,76960305298872,2999
33108,2024-08-28T13:58:10+02:00,56,77685556454280,3038
