index,date,median,max,functions
8743,2019-12-31T18:16:30+08:00,28,178312426732834955748,2750
8832,2020-02-06T10:14:32+02:00,28,178312426732834955748,2748
8921,2020-02-27T08:34:53+02:00,28,178312426732834955748,2763
9011,2020-03-20T12:52:06+01:00,28,178312426732834955748,2767
9100,2020-04-03T14:39:55+03:00,28,194522647344910860816,2776
9189,2020-04-23T16:12:08+02:00,28,1523760737535135076392,2783
9278,2020-05-09T11:10:35+02:00,28,1523760737535135076392,2809
9368,2020-05-28T09:10:51+03:00,28,1523760737535135076392,2814
9457,2020-07-14T18:04:08+03:00,28,12254926782729384231408,2825
9546,2020-08-11T13:35:20+03:00,28,10543290987031533624741189205393595988,2845
9635,2020-09-10T10:09:13+03:00,26.5,10543290987031533624741189205393595988,2870
9724,2020-10-19T07:33:55+03:00,26,11759824562458249042980557190631318602,2907
9814,2020-12-01T14:21:39+02:00,26,11759824562458249042980557190631318602,2939
9903,2020-12-24T19:16:28+08:00,26,11759824562458249042980557190631318602,3016
9992,2021-01-28T12:09:11+02:00,25,11759824562458249042980557190631318602,3073
10081,2021-03-02T18:12:11+02:00,26,11759824562458249042980557190631318602,3136
10170,2021-04-01T09:01:05+03:00,26,11759824562458249042980557190631318602,3141
10260,2021-05-06T10:52:11+03:00,26,11759824562458249042980557190631318602,3141
10349,2021-06-20T08:04:12+03:00,26,11759824562458249042980557190631318602,3164
10438,2021-08-01T15:07:27+03:00,26,11759824562458249042980557190631318602,3157
10527,2021-09-14T17:48:06+03:00,24,331668870313635896011855038,3304
10617,2021-10-20T11:52:57+03:00,24,1059617429833174421024887524,3379
10706,2021-11-24T12:46:43+02:00,24,85131214972450647386731207416,3418
10795,2022-01-02T11:18:43+02:00,24,1847321895317371716745922810033178,3520
10884,2022-01-27T21:48:06+02:00,24,957726168440069783100726083430,3678
10973,2022-02-23T18:15:12+02:00,24,957726168440069783100726083430,3723
11063,2022-04-04T15:35:49+03:00,25,957726168440069783100726083430,3791
11152,2022-05-10T14:55:09+03:00,24,41518912220170602618938580666,3813
11241,2022-06-26T12:32:34+03:00,24,4690745451578564815024806966,3824
11330,2022-08-21T07:52:57+03:00,24,4690745451578564815024806966,3840
11419,2022-10-12T13:09:51+03:00,24,235031988654488547580932,3875
11509,2022-12-08T19:14:21+02:00,24,72216532826798157077940,3946
11598,2023-03-05T15:28:50+02:00,24,76812130370321676164718,3993
11687,2023-05-01T17:31:31+03:00,24,78125158239899824475226,4079
11776,2023-06-21T17:57:11+03:00,24,78125158239899824475226,4096
11866,2023-10-12T10:54:50+03:00,24,78125158239899824475226,4134
11955,2023-12-07T14:30:48+08:00,24,78125158239899824475226,4208
12044,2024-02-05T16:56:46+02:00,24,942894498935748478122,4229
12133,2024-05-18T11:34:13+03:00,24,942894498935748478122,4428
12222,2024-08-29T07:27:23+01:00,24,953701312677132414834,4473
12312,2025-01-13T21:20:19+02:00,24,1005033677948706114216,4596
12401,2025-02-24T22:27:06+08:00,24,1032050712302165955996,4641
12579,2025-05-07T16:45:23+08:00,24,28813667137964921258370,4654
12668,2025-07-15T10:34:27+08:00,24,28813667137964921258370,4773
12758,2025-10-23T12:36:29+03:00,24,30345532985806094287296,5005
12847,2025-12-25T14:14:24+02:00,24,30345532985806094287296,5047
12936,2026-02-18T11:45:38+02:00,24,30345532985806094287296,5182
13025,2026-04-15T20:33:55+08:00,24,30345532985806094287296,5236
13115,2026-06-03T12:09:49+08:00,24,30345532985806094287296,5420
13204,2026-07-28T12:16:33+03:00,24,30345532985806094287296,5680
13293,2026-09-20T10:21:25+03:00,24,30491424971314777432908,5692
